id,speaker,scene,primary_emotion,secondary_emotion,polarity,introspection,temper,attitude,sensitivity,words
2,NOYES,1,grief,loathing,-0.893,-0.966,,-0.821,,3
113,NOYES,1,,,-0.34,-0.966,0.316,-0.355,,4
139,NOYES,1,,,,,,,,4
149,NOYES,1,,,,,,,,4
176,NOYES,1,,,,,,,,4
201,NOYES,1,ecstasy,delight,0.839,0.907,,0.77,,6
3,ROOPE,1,,,,,,,,4
5,ROOPE,1,ecstasy,delight,0.369,0.317,,0.205,0.842,34
7,ROOPE,1,,delight,0.402,0.875,,0.382,,20
9,ROOPE,1,grief,loathing,0.032,-0.327,0.033,-0.108,,21
11,ROOPE,1,annoyance,,-0.302,,-0.302,,,9
13,ROOPE,1,,,-0.011,0.848,,0.007,-0.906,10
15,ROOPE,1,ecstasy,delight,0.773,0.84,,0.707,,6
18,ROOPE,1,,,-0.006,,0.035,0.138,,15
20,ROOPE,1,,,,,,,,6
21,ROOPE,1,loathing,,-0.969,,,-0.969,,5
23,ROOPE,1,joy,,0.66,0.66,,,,4
25,ROOPE,1,,,,,,,,3
27,ROOPE,1,,loathing,-0.01,,,-0.829,-0.03,15
29,ROOPE,1,,,,,,,,11
31,ROOPE,1,,,,,,,,2
33,ROOPE,1,,,-0.166,0.065,0.709,-0.824,-0.505,22
35,ROOPE,1,,loathing,-0.254,-0.832,-0.327,-0.178,,9
37,ROOPE,1,ecstasy,delight,0.448,0.92,-0.377,0.744,0.873,24
39,ROOPE,1,joy,,0.404,0.551,0.274,0.112,,12
41,ROOPE,1,,,,,,,,2
43,ROOPE,1,,,-0.023,0.522,0.266,-0.447,0.1,30
45,ROOPE,1,delight,,0.933,,,0.933,,8
47,ROOPE,1,,,,,,,,2
49,ROOPE,1,,,0.236,0.035,-0.041,0.806,0.23,18
51,ROOPE,1,ecstasy,delight,0.902,0.951,,0.819,0.842,17
53,ROOPE,1,,,,,,,,2
55,ROOPE,1,ecstasy,delight,0.83,0.926,,0.733,,3
57,ROOPE,1,rage,,-0.968,,-0.968,,,11
59,ROOPE,1,,loathing,-0.416,-0.35,0.673,-0.736,-0.997,30
61,ROOPE,1,ecstasy,delight,0.247,0.541,-0.899,0.74,,31
63,ROOPE,1,,,0.343,0.981,0.156,0.009,0.803,21
65,ROOPE,1,,,0.902,0.909,,,0.895,9
