id,speaker,scene,primary_emotion,secondary_emotion,polarity,introspection,temper,attitude,sensitivity,words
1,JORDAN,1,,,,,,,,8
3,JORDAN,1,,,,,,,,2
5,JORDAN,1,ecstasy,,0.774,0.975,0.573,,,23
10,JORDAN,1,,loathing,-0.03,-0.966,0.834,-0.821,,11
18,JORDAN,1,serenity,,0.221,,0.221,,,6
44,JORDAN,1,ecstasy,,0.759,0.928,0.376,0.804,,4
297,JORDAN,1,grief,loathing,-0.84,-0.908,,-0.771,,4
300,JORDAN,1,ecstasy,,0.759,0.928,0.376,0.804,,4
372,JORDAN,1,ecstasy,,0.823,0.871,0.745,0.804,,7
379,JORDAN,1,grief,loathing,-0.893,-0.966,,-0.821,,12
392,JORDAN,1,,,,,,,,8
587,JORDAN,1,grief,loathing,-0.281,-0.317,,-0.246,,9
650,JORDAN,2,dislike,,-0.323,,,-0.323,,13
653,JORDAN,2,ecstasy,bliss,0.851,0.994,0.709,,,4
654,JORDAN,2,,,0.011,0.065,0.709,-0.793,,5
656,JORDAN,2,grief,loathing,-0.241,-0.887,0.925,-0.762,,15
660,JORDAN,2,ecstasy,delight,0.287,0.107,0.314,0.349,0.877,105
780,JORDAN,2,,,,,,,,2
786,JORDAN,2,,,0.172,-0.029,,0.253,,12
788,JORDAN,2,ecstasy,delight,0.467,0.908,0.376,0.804,-0.485,12
2,LEONARD,1,,,0.741,,,0.587,0.895,12
9,LEONARD,1,,,0.417,0.218,,-0.701,0.882,15
16,LEONARD,1,calmness,,0.479,,0.479,,,7
652,LEONARD,2,,,-0.315,-0.285,-0.021,-0.313,,22
655,LEONARD,2,ecstasy,delight,0.871,0.956,0.709,0.773,0.876,25
657,LEONARD,2,enthusiasm,delight,0.757,0.644,,0.659,0.976,17
659,LEONARD,2,,,0.048,-0.046,0.242,-0.336,0.812,21
735,LEONARD,2,ecstasy,calmness,0.683,0.991,0.376,,,4
737,LEONARD,2,ecstasy,calmness,0.683,0.991,0.376,,,4
739,LEONARD,2,ecstasy,calmness,0.683,0.991,0.376,,,4
741,LEONARD,2,ecstasy,calmness,0.683,0.991,0.376,,,4
1288,LEONARD,4,grief,loathing,-0.295,-0.329,0.745,-0.765,,17
1290,LEONARD,4,ecstasy,calmness,0.683,0.991,0.376,,,4
1326,LEONARD,4,ecstasy,calmness,0.683,0.991,0.376,,,4
1328,LEONARD,4,ecstasy,calmness,0.683,0.991,0.376,,,4
1353,LEONARD,4,,,,,,,,5
1361,LEONARD,4,grief,loathing,-0.84,-0.908,,-0.771,,7
1442,LEONARD,4,ecstasy,enthusiasm,0.75,0.831,,,0.668,10
1444,LEONARD,4,,,0.507,0.994,0.465,0.105,,12
1446,LEONARD,4,serenity,acceptance,0.163,,0.221,0.105,,10
1448,LEONARD,4,,,,,,,,5
1450,LEONARD,4,joy,bliss,0.634,0.592,0.676,,,9
1452,LEONARD,4,ecstasy,calmness,0.683,0.991,0.376,,,4
4,TOMPSON,1,enthusiasm,,0.89,,,,0.89,14
6,TOMPSON,1,,,-0.301,,0.289,-0.307,-0.879,8
8,TOMPSON,1,,,0.042,-0.185,0.754,-0.135,,33
11,TOMPSON,1,,,-0.509,-0.589,-0.231,-0.81,-0.595,16
13,TOMPSON,1,,,,,,,,2
17,TOMPSON,1,,,,,,,,6
407,TOMPSON,1,ecstasy,delight,0.835,0.866,,0.804,,9
476,TOMPSON,1,,delight,0.642,0.891,0.834,0.506,,6
479,TOMPSON,1,,delight,0.841,0.866,0.848,0.804,,8
548,TOMPSON,1,ecstasy,,0.759,0.928,0.376,0.804,,4
7,MARIE,1,,,,,,,,5
12,MARIE,1,,,0.731,0.643,,0.446,0.885,21
