id,speaker,scene,primary_emotion,secondary_emotion,polarity,introspection,temper,attitude,sensitivity,words
1,KARL,1,serenity,acceptance,0.171,,0.288,0.053,,15
2,KARL,1,,,,,,,,4
4,KARL,1,contentment,acceptance,0.39,0.457,0.695,0.136,,23
5,KARL,1,,loathing,0.158,-0.847,,-0.207,0.942,14
7,KARL,1,ecstasy,delight,0.386,0.329,0.628,0.509,0.572,126
9,KARL,1,,,,,,,,10
11,KARL,1,,,,,,,,2
13,KARL,1,,delight,0.75,0.951,0.479,0.673,0.96,9
16,KARL,1,,,,,,,,2
18,KARL,1,,,,,,,,2
20,KARL,1,,,,,,,,9
22,KARL,1,enthusiasm,,0.914,,,,0.914,6
24,KARL,1,calmness,,0.465,,0.465,,,5
26,KARL,1,,,,,,,,2
29,KARL,1,,,,,,,,2
31,KARL,1,dislike,,-0.228,,,-0.228,,4
33,KARL,1,pleasantness,,0.659,,,0.659,,7
35,KARL,1,ecstasy,calmness,0.755,0.991,0.376,,0.899,9
37,KARL,1,enthusiasm,,0.895,,,,0.895,7
39,KARL,1,ecstasy,calmness,0.671,0.826,0.376,,,6
41,KARL,1,grief,loathing,-0.395,-0.883,0.465,-0.46,-0.726,22
43,KARL,1,,,,,,,,2
45,KARL,1,,,0.621,0.574,,0.4,0.891,26
47,KARL,1,,,,,,,,14
50,KARL,1,,,,,,,,8
52,KARL,1,,,,,,,,2
55,KARL,1,,,0.194,,,-0.504,0.891,15
59,KARL,1,ecstasy,bliss,0.396,0.95,0.727,0.086,-0.866,29
61,KARL,1,enthusiasm,,0.893,,,,0.893,11
63,KARL,1,enthusiasm,delight,0.891,,,0.808,0.973,5
67,KARL,1,ecstasy,delight,0.572,0.927,,0.398,0.294,25
70,KARL,1,,delight,0.727,0.766,,0.713,,10
72,KARL,1,delight,enthusiasm,0.869,,,0.914,0.825,21
74,KARL,1,,,-0.335,,-0.228,,-0.441,14
78,KARL,1,,,,,,,,4
80,KARL,1,enthusiasm,,0.531,,,0.339,0.515,9
82,KARL,1,,,,,,,,5
84,KARL,1,,,-0.077,-0.128,,-0.027,,12
86,KARL,1,,,,,,,,2
88,KARL,1,,,,,,,,5
90,KARL,1,sadness,anger,-0.659,-0.66,-0.66,-0.659,-0.659,9
92,KARL,1,,loathing,0.131,,0.632,-0.079,-0.98,16
94,KARL,1,,,-0.081,-0.121,,-0.04,,16
96,KARL,1,fear,,0.13,0.256,0.58,0.114,0.143,70
98,KARL,1,ecstasy,delight,0.62,0.69,0.781,0.537,0.665,107
100,KARL,1,,,0.035,0.31,-0.833,0.115,-0.353,31
102,KARL,1,ecstasy,delight,0.361,0.913,0.745,0.378,0.091,81
